source_id,city,area,rooms,floor,floor_count,year_built,has_parking,has_balcony,has_elevator,price,price_per_sqm,city_median_price_per_sqm,price_difference_pct,price_rating
6cb624f8b50855e70ec041f9dbf98d64,Szczecin,88.42,3,4,4,,False,False,False,619000,7000.678579506899,7989.845360824743,-12.380299450698484,Atrakcyjna
32c6b57da4e116b4fdedd6547fa51f34,Szczecin,31.3,1,3,10,,False,False,True,279000,8913.738019169328,7989.845360824743,11.563335917295126,Powyżej średniej
390178833fbf875421a8f8569f059aad,Szczecin,47.45,2,1,11,1975,True,True,True,382000,8050.579557428872,7989.845360824743,0.7601423289356424,W średniej
c36b25e573bc32e7f66614bce320a85c,Szczecin,32.49,2,1,3,1930,False,False,False,380000,11695.906432748538,7989.845360824743,46.384640810385356,Powyżej średniej
56061518ee27b64199b8713c4e4357f3,Szczecin,42.7,2,8,11,1980,False,True,True,449000,10515.222482435596,7989.845360824743,31.607334154339295,Powyżej średniej
674b05269a397e58c85463d7fd2e3e4b,Szczecin,92.6,4,3,3,2000,False,True,False,910000,9827.21382289417,7989.845360824743,22.996295661469055,Powyżej średniej
8dfdce8d371e408e1c20da06e26b41a2,Szczecin,42.0,2,1,2,1929,False,False,False,385000,9166.666666666666,7989.845360824743,14.728962235139509,Powyżej średniej
dd6603db1f9315f3f2c2873a3b7b8207,Szczecin,30.02,2,,3,1930,False,False,False,334000,11125.916055962693,7989.845360824743,39.250705783550146,Powyżej średniej
c622793797fef1a6e29966277769b554,Szczecin,80.17,3,4,4,1936,False,False,,599000,7471.622801546713,7989.845360824743,-6.486014883578884,W średniej
597499b68431f0f8a7f7b1dd3d5c0004,Szczecin,74.15,3,,2,2012,True,True,False,599000,8078.2198246797025,7989.845360824743,1.1060847846726896,W średniej
febe15ca20b75654319c4098f6ea55a2,Szczecin,94.0,3,3,3,,False,False,False,599000,6372.340425531915,7989.845360824743,-20.244508651239567,Atrakcyjna
bac1869ad9c2c1ef444b0ba6d225761a,Szczecin,77.71,3,3,3,1925,False,False,False,550000,7077.596190966414,7989.845360824743,-11.417607333568757,Atrakcyjna
63479090957a6c2c4fea591d55acdd80,Szczecin,35.0,1,9,11,1986,False,True,False,154040,4401.142857142857,7989.845360824743,-44.915794256516705,Atrakcyjna
302e218dbb82294a94f9625ee3576a8c,Szczecin,63.92,3,1,2,2014,False,True,False,679000,10622.653316645807,7989.845360824743,32.951926312993066,Powyżej średniej
eb15c0a8a7f16a523f5cf5f61de06638,Szczecin,49.5,2,1,4,1980,False,True,False,462000,9333.333333333334,7989.845360824743,16.81494336668752,Powyżej średniej
fdedf658dfed43b7c04fed45b46a1ff4,Szczecin,26.43,1,4,4,1930,False,False,,319000,12069.617858494135,7989.845360824743,51.06197070688066,Powyżej średniej
35ce228e7a94567f4b1c1f0b3934450e,Szczecin,48.0,2,2,4,,True,True,False,445000,9270.833333333334,7989.845360824743,16.03270044235703,Powyżej średniej
866dcd336b4abf7050837397c7572543,Szczecin,37.28,2,7,11,,False,True,True,305000,8181.3304721030045,7989.845360824743,2.3966059745929247,W średniej
b37631ccae5fa498867b627a41a1292e,Szczecin,80.0,4,4,4,1930,False,False,,439000,5487.5,7989.845360824743,-31.319071243782382,Atrakcyjna
83d0b4dfa918a2ca00447426aab6fb7c,Szczecin,56.0,2,2,2,2013,True,True,False,597000,10660.714285714286,7989.845360824743,33.42829309294475,Powyżej średniej
ac124993388788665e486a101f8c987c,Szczecin,38.2,2,4,4,1980,True,True,False,299000,7827.225130890051,7989.845360824743,-2.035336387510578,W średniej
3a4787d600c73a59c1d7022a692aa116,Szczecin,51.4,2,4,4,2016,False,False,True,516000,10038.910505836577,7989.845360824743,25.645867378844002,Powyżej średniej
9a85f110e8fd3084f0a4ba91c46fef84,Szczecin,48.5,2,7,12,,False,False,True,390000,8041.237113402062,7989.845360824743,0.6432133571608212,W średniej
a7d8840415334bef3345bfe77705776e,Szczecin,37.5,2,4,4,1974,False,False,False,385000,10266.666666666666,7989.845360824743,28.496437703356257,Powyżej średniej
606070b6e77b2cef0e712628575fb197,Szczecin,62.3,4,2,4,1980,False,True,False,499000,8009.630818619583,7989.845360824743,0.24763254983446448,W średniej
4f5c3d6e4d56188897e07a5be5f75ff9,Szczecin,52.92,2,4,4,1987,False,True,False,449000,8484.504913076342,7989.845360824743,6.191102955220873,W średniej
a7db8fe06f9b18b05ac05a4fed8efcae,Szczecin,36.87,2,2,7,2021,False,False,True,450000,12205.044751830757,7989.845360824743,52.75695837210679,Powyżej średniej
14d25648a1804b82e305f3100901ffc7,Szczecin,81.9,3,2,9,,False,False,True,779000,9511.59951159951,7989.845360824743,19.046102672226016,Powyżej średniej
0c1f7ae9c231df364c835a1fb04c3944,Szczecin,47.0,3,4,11,1974,False,True,True,460000,9787.234042553191,7989.845360824743,22.495913256860778,Powyżej średniej
c00233c03409c10ac08c43e5eea8a63c,Szczecin,52.0,3,3,4,,False,True,False,510000,9807.692307692309,7989.845360824743,22.751966587247207,Powyżej średniej
558093a38029d9c24a9b36fc22705c8b,Szczecin,57.0,3,2,2,2016,True,True,True,699000,12263.157894736842,7989.845360824743,53.48429588968904,Powyżej średniej
1dea45d2f0de99edd88f7f55ecafaa8c,Szczecin,44.0,2,4,10,,False,False,True,439999,9999.977272727272,7989.845360824743,25.158583440907,Powyżej średniej
358a3a41905a20267cff010fbd4f9a18,Szczecin,58.0,3,2,3,1930,False,False,False,399000,6879.310344827586,7989.845360824743,-13.899330535760491,Atrakcyjna
324455fa0f2c49eb75ca34246e0cc160,Szczecin,27.25,1,3,4,1980,False,True,False,275000,10091.743119266055,7989.845360824743,26.30711438730957,Powyżej średniej
e3cb408c565848fd68aca190b8723415,Szczecin,51.97,3,4,4,,False,True,False,459000,8832.018472195497,7989.845360824743,10.540543318898754,Powyżej średniej
31e1269d061a05484131fe1619445858,Szczecin,59.75,3,2,4,1970,False,True,False,460000,7698.744769874477,7989.845360824743,-3.64338204062834,W średniej
c08790c320d8899996c16ac5847cc9d0,Szczecin,61.38,2,3,4,1940,False,False,False,520000,8471.814923427826,7989.845360824743,6.032276481422816,W średniej
11ab045dc3103c39d0b6c9ab37fe2981,Szczecin,63.56,4,2,4,,False,True,False,529000,8322.844556324731,7989.845360824743,4.167780231801821,W średniej
da899602f9e8c0eac970cb1d53414cb9,Szczecin,80.0,3,,1,,True,False,False,920000,11500.0,7989.845360824743,43.93269807681142,Powyżej średniej
31e006412946000db9b80443ef8bb0e7,Szczecin,46.95,2,4,4,1969,False,False,,289000,6155.484558040468,7989.845360824743,-22.95865213835534,Atrakcyjna
ee6d9d4f68def3b1e450c6f8dc2ca84d,Szczecin,93.82,4,3,3,1905,True,True,False,599000,6384.566190577702,7989.845360824743,-20.09149236001405,Atrakcyjna
03d399de942bb186cc43d3e0e56103c1,Szczecin,35.0,2,,10,,False,False,True,299000,8542.857142857143,7989.845360824743,6.921432857059906,W średniej
7cde8910fbd7074e23d81ca3525b1043,Szczecin,38.0,2,4,4,1978,False,False,False,299000,7868.421052631579,7989.845360824743,-1.5197328948132416,W średniej
1fb2b52ea49ad6dc13c6f119bde68023,Szczecin,57.41,3,3,3,2016,False,True,False,599000,10433.722348022993,7989.845360824743,30.58728769871941,Powyżej średniej
ba5577d4e9af3e4154093a29ae7585ac,Szczecin,59.4,3,5,11,1985,False,True,True,549000,9242.424242424242,7989.845360824743,15.677135476752246,Powyżej średniej
6e37451ee1876232ca54b7035c0b2b07,Szczecin,64.0,4,1,2,1930,False,False,False,569000,8890.625,7989.845360824743,11.274055986013165,Powyżej średniej
15c64409a4293f952ba6e5d4a76ef473,Szczecin,74.8,3,3,3,2007,False,True,False,730000,9759.358288770054,7989.845360824743,22.147023478344963,Powyżej średniej
0872022bdb1d5d871f206dda03cf1f24,Szczecin,42.0,2,3,4,,False,False,False,299000,7119.047619047619,7989.845360824743,-10.898805952450076,Atrakcyjna
3940dcb73729f57ed69859ff94ea1cdc,Szczecin,86.59,3,3,4,2009,False,True,False,732000,8453.63205912923,7989.845360824743,5.804701810356594,W średniej
21433144632bade4159d88b412d53965,Szczecin,76.0,3,2,4,1980,True,False,False,515000,6776.315789473684,7989.845360824743,-15.188398730482977,Atrakcyjna
ec8c0a2d1b575aa26139741a1c42236b,Szczecin,35.6,2,7,8,1969,False,False,True,285000,8005.61797752809,7989.845360824743,0.1974082850299208,W średniej
77fb45e17f57aa93c7663d727233b214,Szczecin,60.44,3,,4,1980,False,True,False,429000,7097.948378557247,7989.845360824743,-11.162881657767532,Atrakcyjna
c2ed258f3fdae30240a4496fe37b97b4,Szczecin,47.18,2,3,3,1935,False,False,False,499000,10576.515472657906,7989.845360824743,32.374470280938674,Powyżej średniej
d3f6b8e9017f6bad5aea5d9ca180be0f,Szczecin,46.52,2,4,4,1930,False,False,,497000,10683.576956147892,7989.845360824743,33.71443968779255,Powyżej średniej
e93b95c34c5252e0543026d293ac86b3,Szczecin,45.0,3,2,3,1932,False,False,False,320000,7111.111111111111,7989.845360824743,-10.998138387285694,Atrakcyjna
75dd561f860d7e4907f036fd10db8293,Szczecin,69.33,3,1,2,1936,False,False,False,439000,6332.035193999712,7989.845360824743,-20.748964366112656,Atrakcyjna
6d170e14369119d2371e8714759f6cf6,Szczecin,61.45,2,,4,1900,False,False,,575000,9357.20097640358,7989.845360824743,17.11366808528185,Powyżej średniej
e4f81bfca2adc89014ad7718c80a6e90,Szczecin,35.47,2,1,5,,True,False,True,289000,8147.73047645898,7989.845360824743,1.9760722329917435,W średniej
25539c37a5d184493ac13e9e2a73a829,Szczecin,52.19,3,2,5,,False,True,True,648396,12423.7593408699,7989.845360824743,55.49436540768633,Powyżej średniej
